e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Magalu,"Apple iPhone 14 128GB Estelar 6,1” 12MP iOS 5G",,3598.0,"3.598,00","R$ 7.599,00",4.9,4880.0
Magalu,Smartphone Celular Xiaomi Redmi Note 14 Lançamento 256GB 8GB Câmera 108MP 20MP Tela 6.67 AMOLED 120Hz FHD plus Design Premium Dual SIM Chip,,1257.78,"1.257,78","R$ 2.179,89",4.8,491.0
Magalu,"Smartphone Realme C75x 8gb RAM 256gb Dual Sim NFC Tela 6.67"" Prova d'água resistente a queda - Azul",,1141.2,"1.141,20","R$ 1.299,00",4.8,28.0
Magalu,Relógio Smartwatch Digital Pro Series 9 Nfc Gps 47mm Lançamento,,144.42,"144,42","R$ 244,90",4.5,190.0
Magalu,Relógio Smart Watch Digital D20 Masculino / Feminino + Fone Bluetooth Sem Fio,,52.73,"52,73","R$ 64,90",3.5,683.0
Magalu,"Smartphone Motorola Moto g05 256GB 4GB RAM Grafite 6,7"" Câm. 50MP + Selfie 8MP",,699.0,"699,00","R$ 999,00",4.9,17.0
Magalu,"Smartphone Samsung Galaxy A56 256GB 5G 8GB RAM Verde 6,7"" Câm. Tripla + Selfie 12MP",,2049.0,"2.049,00","R$ 3.499,99",4.9,2326.0
Magalu,Relogio Smartwatch Feminino Masculino D20 Fit Pro Inteligente Oferta,,34.52,"34,52","R$ 39,90",3.4,589.0
Magalu,"Smartphone Samsung Galaxy Z Flip7 FE 128GB Preto 5G 8GB RAM Tela 6,7"" Câm. Dupla de 50MP Galaxy AI",,3499.0,"3.499,00","R$ 6.699,00",4.8,19.0
Magalu,Relogio Smartwatch Feminino Masculino D20 Fit Pro Inteligente Oferta,,33.61,"33,61","R$ 39,90",3.4,589.0
Magalu,"Cabo Carregador Magnético Smartwatch Indução W27, W28, W29, W37, W59, S10, W10 Pro",,26.83,"26,83","R$ 39,90",4.4,13.0
Magalu,"Smartphone Samsung Galaxy A56 256GB 5G 8GB RAM Verde 6,7"" Câm. Tripla + Selfie 12MP",,2049.0,"2.049,00","R$ 3.499,99",4.9,2326.0
Magalu,"Smartphone Samsung Galaxy A36 256GB 5G 8GB RAM Branco 6,7"" Câm. Tripla + Selfie 12MP",,1799.0,"1.799,00","R$ 2.999,99",4.8,1169.0
Magalu,Relógio Smart Watch Digital D20 Original Masculino E Feminino,,34.52,"34,52","R$ 49,90",3.4,736.0
